No,Title,Link,Tags,Acceptance,Difficulty,Google Company Frequency,Overall Frequency
359,Logger Rate Limiter,https://leetcode.com/problems/logger-rate-limiter/description/,[Hash Table][Design][Data Stream],75.8%,Easy,3.3898619169527824,75.09%
1110,Delete Nodes And Return Forest,https://leetcode.com/problems/delete-nodes-and-return-forest/description/,[Array][Hash Table][Tree][Depth-First Search][Binary Tree],69.1%,Medium,3.234473761417729,55.28%
2402,Meeting Rooms III,https://leetcode.com/problems/meeting-rooms-iii/description/,[Array][Hash Table][Sorting][Heap (Priority Queue)][Simulation],45.2%,Hard,3.03331703921454,80.65%
2458,Height of Binary Tree After Subtree Removal Queries,https://leetcode.com/problems/height-of-binary-tree-after-subtree-removal-queries/description/,[Array][Tree][Depth-First Search][Breadth-First Search][Binary Tree],39.8%,Hard,2.832160317011351,46.51%
715,Range Module,https://leetcode.com/problems/range-module/description/,[Design][Segment Tree][Ordered Set],44.3%,Hard,2.71386443453107,69.63%
1825,Finding MK Average,https://leetcode.com/problems/finding-mk-average/description/,[Design][Queue][Heap (Priority Queue)][Data Stream][Ordered Set],36.6%,Hard,2.5461920410373047,49.91%
2265,Count Nodes Equal to Average of Subtree,https://leetcode.com/problems/count-nodes-equal-to-average-of-subtree/description/,[Tree][Depth-First Search][Binary Tree],86.5%,Medium,2.521670646664969,60.18%
1136,Parallel Courses,https://leetcode.com/problems/parallel-courses/description/,[Graph][Topological Sort],61.3%,Medium,2.424016321153776,44.52%
2101,Detonate the Maximum Bombs,https://leetcode.com/problems/detonate-the-maximum-bombs/description/,[Array][Math][Depth-First Search][Breadth-First Search][Graph][Geometry],48.8%,Medium,2.3396488258750114,40.52%
939,Minimum Area Rectangle,https://leetcode.com/problems/minimum-area-rectangle/description/,[Array][Hash Table][Math][Geometry][Sorting],53.4%,Medium,2.316818738632945,55.58%
2437,Number of Valid Clock Times,https://leetcode.com/problems/number-of-valid-clock-times/description/,[String][Enumeration],45.6%,Easy,2.2272985612627534,46.94%
1101,The Earliest Moment When Everyone Become Friends,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends/description/,[Array][Union Find][Sorting],64.4%,Medium,2.133920364440116,40.81%
2700,Differences Between Two Objects,https://leetcode.com/problems/differences-between-two-objects/description/,,79.9%,Medium,2.1005468556236093,48.74%
2863,Maximum Length of Semi-Decreasing Subarrays,https://leetcode.com/problems/maximum-length-of-semi-decreasing-subarrays/description/,[Array][Hash Table][Sorting],72.5%,Medium,1.8993901334204204,30.56%
2842,Count K-Subsequences of a String With Maximum Beauty,https://leetcode.com/problems/count-k-subsequences-of-a-string-with-maximum-beauty/description/,[Hash Table][Math][String][Greedy][Combinatorics],28.7%,Hard,1.6982334112172317,32.78%
2116,Check if a Parentheses String Can Be Valid,https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid/description/,[String][Stack][Greedy],31.4%,Medium,1.589732841354768,29.05%
679,24 Game,https://leetcode.com/problems/24-game/description/,[Array][Math][Backtracking],49.2%,Hard,1.4954936530848826,31.15%
900,RLE Iterator,https://leetcode.com/problems/rle-iterator/description/,[Array][Design][Counting][Iterator],59.5%,Medium,1.376991968457577,27.71%
975,Odd Even Jump,https://leetcode.com/problems/odd-even-jump/description/,[Array][Dynamic Programming][Stack][Monotonic Stack][Ordered Set],39.6%,Hard,1.2992829841302609,32.11%
2973,Find Number of Coins to Place in Tree Nodes,https://leetcode.com/problems/find-number-of-coins-to-place-in-tree-nodes/description/,[Dynamic Programming][Tree][Depth-First Search][Sorting][Heap (Priority Queue)],34.4%,Hard,1.2729656758128876,22.17%
2667,Create Hello World Function,https://leetcode.com/problems/create-hello-world-function/description/,,80.9%,Easy,1.2713723673698638,99.46%
1509,Minimum Difference Between Largest and Smallest Value in Three Moves,https://leetcode.com/problems/minimum-difference-between-largest-and-smallest-value-in-three-moves/description/,[Array][Greedy][Sorting],55.0%,Medium,1.252762968495368,41.42%
